begin,end,id,flow,occupancy,speed,nVehEntered
0.00,3600.00,e1det_412441780#1_0,68.00,15.89,5.04,71
0.00,3600.00,e1det_412441780#1_1,133.00,5.60,8.65,133
0.00,3600.00,e1det_688169644#0_0,108.00,2.69,7.40,108
0.00,3600.00,e1det_688169644#0_1,42.00,1.08,7.85,42
0.00,3600.00,e1det_688169644#0_2,39.00,1.07,6.16,39
0.00,3600.00,e1det_688169644#0_3,128.00,3.86,5.02,128
0.00,3600.00,e1det_688171462#2_0,50.00,13.22,8.32,54
0.00,3600.00,e1det_688171462#2_1,37.00,0.97,7.17,38
0.00,3600.00,e1det_688171462#2_2,124.00,10.10,4.88,124
0.00,3600.00,e1det_688214484#0_0,46.00,1.52,5.14,53
0.00,3600.00,e1det_688214484#0_1,32.00,0.85,5.47,32
0.00,3600.00,e1det_688214484#0_2,115.00,2.31,8.40,115
3600.00,7200.00,e1det_412441780#1_0,122.00,10.70,5.41,129
3600.00,7200.00,e1det_412441780#1_1,223.00,4.48,8.46,223
3600.00,7200.00,e1det_688169644#0_0,165.00,4.28,5.95,166
3600.00,7200.00,e1det_688169644#0_1,116.00,2.02,11.31,117
3600.00,7200.00,e1det_688169644#0_2,52.00,1.28,7.66,53
3600.00,7200.00,e1det_688169644#0_3,178.00,5.68,4.60,178
3600.00,7200.00,e1det_688171462#2_0,110.00,10.25,10.81,113
3600.00,7200.00,e1det_688171462#2_1,60.00,5.04,8.34,61
3600.00,7200.00,e1det_688171462#2_2,170.00,11.90,4.14,171
3600.00,7200.00,e1det_688214484#0_0,82.00,2.74,5.36,91
3600.00,7200.00,e1det_688214484#0_1,54.00,9.81,6.18,57
3600.00,7200.00,e1det_688214484#0_2,188.00,3.84,7.73,188
7200.00,10800.00,e1det_412441780#1_0,129.00,17.33,5.12,134
7200.00,10800.00,e1det_412441780#1_1,219.00,4.05,8.28,220
7200.00,10800.00,e1det_688169644#0_0,135.00,3.65,6.18,135
7200.00,10800.00,e1det_688169644#0_1,89.00,1.62,10.62,92
7200.00,10800.00,e1det_688169644#0_2,36.00,0.96,6.47,37
7200.00,10800.00,e1det_688169644#0_3,174.00,5.38,4.48,174
