begin,end,id,sampledSeconds,nVehEntered,nVehLeft,nVehSeen,meanSpeed,meanTimeLoss,meanOccupancy,maxOccupancy,maxJamLengthInMeters,meanMaxJamLengthInVehicles,meanMaxJamLengthInMeters,meanHaltingDuration
0.00,3600.00,e2det_412441780#1_0,2789.11,72,71,72,0.18,38.17,55.80,100.00,2.68,0.74,1.44,179.00
0.00,3600.00,e2det_412441780#1_1,2927.62,134,133,134,0.35,21.49,55.07,100.00,2.68,0.77,1.40,185.60
0.00,3600.00,e2det_688169644#0_0,5216.08,114,113,114,0.35,44.94,49.93,98.17,10.76,1.35,7.03,168.69
0.00,3600.00,e2det_688169644#0_1,3166.70,47,47,47,0.22,66.81,34.92,97.20,11.43,0.84,4.54,131.87
0.00,3600.00,e2det_688169644#0_2,2256.60,40,40,40,0.28,55.82,24.68,99.94,11.75,0.59,3.25,96.82
0.00,3600.00,e2det_688169644#0_3,5095.20,129,128,129,0.42,38.89,55.84,99.68,11.72,1.28,7.38,125.57
0.00,3600.00,e2det_688171462#2_0,465.86,54,53,54,0.51,8.45,12.84,100.00,0.10,0.12,0.01,104.75
0.00,3600.00,e2det_688171462#2_1,34.88,38,38,38,5.31,0.73,1.05,100.00,0.00,0.00,0.00,1.00
0.00,3600.00,e2det_688171462#2_2,365.76,124,124,124,1.63,2.77,10.12,100.00,0.10,0.06,0.01,114.00
0.00,3600.00,e2det_688214484#0_0,2187.08,54,53,54,0.23,39.67,47.69,100.00,5.66,0.57,2.60,173.17
0.00,3600.00,e2det_688214484#0_1,1526.45,33,32,33,0.22,45.46,33.07,100.00,4.50,0.40,1.81,121.42
0.00,3600.00,e2det_688214484#0_2,2529.80,115,115,115,0.48,21.51,54.75,100.00,5.66,0.65,2.95,181.15
3600.00,7200.00,e2det_412441780#1_0,3132.36,130,130,131,0.29,23.35,59.63,100.00,2.68,0.81,1.50,134.48
3600.00,7200.00,e2det_412441780#1_1,3234.45,223,223,224,0.54,14.07,59.77,100.00,2.68,0.83,1.47,199.06
3600.00,7200.00,e2det_688169644#0_0,6105.11,175,174,176,0.45,33.84,62.38,98.27,11.56,1.54,8.58,192.14
3600.00,7200.00,e2det_688169644#0_1,5253.83,126,124,126,0.37,41.13,53.16,92.27,11.76,1.38,7.50,178.96
3600.00,7200.00,e2det_688169644#0_2,3986.38,57,55,57,0.22,69.35,42.36,97.57,11.76,1.06,5.72,153.32
3600.00,7200.00,e2det_688169644#0_3,6130.52,179,178,180,0.48,33.45,68.41,100.00,11.76,1.51,8.99,116.42
3600.00,7200.00,e2det_688171462#2_0,356.49,113,114,114,1.54,2.93,9.62,100.00,0.10,0.08,0.01,80.80
3600.00,7200.00,e2det_688171462#2_1,180.72,61,61,61,1.67,2.77,4.81,100.00,0.10,0.04,0.00,33.00
3600.00,7200.00,e2det_688171462#2_2,432.20,171,170,171,1.88,2.35,11.81,100.00,0.10,0.06,0.01,45.80
3600.00,7200.00,e2det_688214484#0_0,3037.63,91,91,92,0.29,32.17,66.01,100.00,5.66,0.79,3.58,207.21
3600.00,7200.00,e2det_688214484#0_1,2687.94,57,57,58,0.22,45.55,56.99,100.00,5.66,0.71,3.13,163.93
3600.00,7200.00,e2det_688214484#0_2,3280.86,189,188,189,0.60,16.88,69.52,100.00,4.50,0.82,3.70,186.00
